,Postion on chart,Titles,Artists,Weeks,lastPosition,chart_release_date
4714,15,Shallow,Lady Gaga & Bradley Cooper,30,16,4/30/19
4715,16,Going Bad,Meek Mill Featuring Drake,21,15,4/30/19
4716,17,Earth,Lil Dicky,1,0,4/30/19
4717,18,Eastside,"benny blanco, Halsey & Khalid",41,19,4/30/19
4718,19,Better,Khalid,32,17,4/30/19
4719,20,High Hopes,Panic! At The Disco,38,21,4/30/19
4720,21,Thotiana,Blueface,15,14,4/30/19
4721,22,Girls Like You,Maroon 5 Featuring Cardi B,48,23,4/30/19
4722,23,Pure Water,Mustard & Migos,13,33,4/30/19
4723,24,A Lot,21 Savage,18,22,4/30/19
4724,25,Sicko Mode,Travis Scott,38,26,4/30/19
4725,26,Beautiful Crazy,Luke Combs,24,24,4/30/19
4726,27,Be Alright,Dean Lewis,26,30,4/30/19
4727,28,Look Back At It,A Boogie Wit da Hoodie,20,37,4/30/19
4728,29,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,23,25,4/30/19
4729,30,Act Up,City Girls,8,36,4/30/19
4730,31,Envy Me,Calboy,19,35,4/30/19
4731,32,Sanguine Paradise,Lil Uzi Vert,2,28,4/30/19
4732,33,Drip Too Hard,Lil Baby & Gunna,32,32,4/30/19
4733,34,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,12,56,4/30/19
4734,35,Murder On My Mind,YNW Melly,14,29,4/30/19
4735,36,Bury A Friend,Billie Eilish,13,31,4/30/19
4736,37,Here With Me,Marshmello Featuring CHVRCHES,7,41,4/30/19
4737,38,When The Party's Over,Billie Eilish,24,38,4/30/19
4738,39,Clout,Offset Featuring Cardi B,3,72,4/30/19
4739,40,Boy With Luv,BTS Featuring Halsey,2,8,4/30/19
4740,41,"Thank U, Next",Ariana Grande,25,34,4/30/19
4741,42,Better Now,Post Malone,52,39,4/30/19
4742,43,God's Country,Blake Shelton,4,46,4/30/19
4743,44,Eyes On You,Chase Rice,10,44,4/30/19
4744,45,You Say,Lauren Daigle,41,40,4/30/19
4745,46,Suge,DaBaby,4,51,4/30/19
4746,47,Baby Shark,Pinkfong,17,43,4/30/19
4747,48,Whiskey Glasses,Morgan Wallen,8,55,4/30/19
4748,49,Here Tonight,Brett Young,16,42,4/30/19
4749,50,Youngblood,5 Seconds Of Summer,47,47,4/30/19
4750,51,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,4,27,4/30/19
4751,52,Good As You,Kane Brown,9,54,4/30/19
4752,53,Look What God Gave Her,Thomas Rhett,8,53,4/30/19
4753,54,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,18,48,4/30/19
4754,55,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,11,52,4/30/19
4755,56,Make It Sweet,Old Dominion,17,57,4/30/19
4756,57,Close Friends,Lil Baby,26,58,4/30/19
4757,58,Worth It,YK Osiris,10,60,4/30/19
4758,59,Miss Me More,Kelsea Ballerini,12,63,4/30/19
4759,60,Pop Out,Polo G Featuring Lil Tjay,5,74,4/30/19
4760,61,Night Shift,Jon Pardi,10,70,4/30/19
4761,62,Walk Me Home,P!nk,8,71,4/30/19
4762,63,Mixed Personalities,YNW Melly Featuring Kanye West,14,59,4/30/19
4763,64,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,7,62,4/30/19
4764,65,You Should See Me In A Crown,Billie Eilish,5,65,4/30/19
4765,66,Robbery,Juice WRLD,10,61,4/30/19
4766,67,Rumor,Lee Brice,7,69,4/30/19
4767,68,Love Ain't,Eli Young Band,2,81,4/30/19
4768,69,Cool,Jonas Brothers,3,75,4/30/19
4769,70,Don't Call Me Up,Mabel,5,67,4/30/19
4770,71,Calma,Pedro Capo X Farruko,6,0,4/30/19
4771,72,Girls Need Love,Summer Walker X Drake,9,77,4/30/19
4772,73,Wish You Were Gay,Billie Eilish,8,64,4/30/19
4773,74,GIRL,Maren Morris,8,79,4/30/19
4774,75,Before I Let Go,Beyonce,1,0,4/30/19
4775,76,Big Ole Freak,Megan Thee Stallion,3,84,4/30/19
4776,77,Put A Date On It,Yo Gotti Featuring Lil Baby,13,85,4/30/19
4777,78,Talk You Out Of It,Florida Georgia Line,10,93,4/30/19
4778,79,Shot Clock,Ella Mai,13,78,4/30/19
4779,80,"Hey Look Ma, I Made It",Panic! At The Disco,2,96,4/30/19
4780,81,I'm So Tired...,Lauv & Troye Sivan,3,94,4/30/19
4781,82,That's A Rack,Lil Uzi Vert,2,76,4/30/19
4782,83,Secreto,Anuel AA & Karol G,9,0,4/30/19
4783,84,Ocean Eyes,Billie Eilish,10,91,4/30/19
4784,85,Bad Liar,Imagine Dragons,9,80,4/30/19
4785,86,Kill This Love,BLACKPINK,3,73,4/30/19
4786,87,SOS,Avicii Featuring Aloe Blacc,2,68,4/30/19
4787,88,Faucet Failure,Ski Mask The Slump God,9,89,4/30/19
4788,89,On My Way To You,Cody Johnson,9,100,4/30/19
4789,90,Slide,French Montana Featuring Blueface & Lil Tjay,1,0,4/30/19
4790,91,Saturday Nights,Khalid & Kane Brown,12,86,4/30/19
4791,92,Pure Cocaine,Lil Baby,16,0,4/30/19
4792,93,Love Someone,Brett Eldredge,1,0,4/30/19
4793,94,This Is It,Scotty McCreery,20,97,4/30/19
4794,95,My Strange Addiction,Billie Eilish,4,88,4/30/19
4795,96,Shotta Flow,NLE Choppa,1,0,4/30/19
4796,97,Let Me Down Slowly,Alec Benjamin + Alessia Cara,9,99,4/30/19
4797,98,Xanny,Billie Eilish,4,90,4/30/19
4798,99,One That Got Away,Michael Ray,9,87,4/30/19
4799,100,ME!,Taylor Swift Featuring Brendon Urie,1,0,4/30/19
4800,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,9,1,5/7/19
4801,2,ME!,Taylor Swift Featuring Brendon Urie,2,100,5/7/19
4802,3,Wow.,Post Malone,19,2,5/7/19
4803,4,Sucker,Jonas Brothers,9,5,5/7/19
4804,5,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,28,3,5/7/19
4805,6,7 Rings,Ariana Grande,15,4,5/7/19
4806,7,Without Me,Halsey,30,6,5/7/19
4807,8,Dancing With A Stranger,Sam Smith & Normani,16,7,5/7/19
4808,9,Bad Guy,Billie Eilish,5,9,5/7/19
4809,10,Talk,Khalid,12,8,5/7/19
4810,11,Sweet But Psycho,Ava Max,20,11,5/7/19
4811,12,Middle Child,J. Cole,15,10,5/7/19
4812,13,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,12,14,5/7/19
4813,14,Happier,Marshmello & Bastille,37,12,5/7/19
4814,15,Shallow,Lady Gaga & Bradley Cooper,31,15,5/7/19
4815,16,Going Bad,Meek Mill Featuring Drake,22,16,5/7/19
4816,17,Eastside,"benny blanco, Halsey & Khalid",42,18,5/7/19
4817,18,High Hopes,Panic! At The Disco,39,20,5/7/19
4818,19,Please Me,Cardi B & Bruno Mars,11,13,5/7/19
4819,20,Better,Khalid,33,19,5/7/19
4820,21,Girls Like You,Maroon 5 Featuring Cardi B,49,22,5/7/19
4821,22,A Lot,21 Savage,19,24,5/7/19
4822,23,Pure Water,Mustard & Migos,14,23,5/7/19
4823,24,Sicko Mode,Travis Scott,39,25,5/7/19
4824,25,Thotiana,Blueface,16,21,5/7/19
4825,26,Be Alright,Dean Lewis,27,27,5/7/19
4826,27,Suge,DaBaby,5,46,5/7/19
4827,28,Beautiful Crazy,Luke Combs,25,26,5/7/19
4828,29,Look Back At It,A Boogie Wit da Hoodie,21,28,5/7/19
4829,30,Act Up,City Girls,9,30,5/7/19
4830,31,Here With Me,Marshmello Featuring CHVRCHES,8,37,5/7/19
4831,32,Envy Me,Calboy,20,31,5/7/19
4832,33,Whiskey Glasses,Morgan Wallen,9,48,5/7/19
4833,34,God's Country,Blake Shelton,5,43,5/7/19
4834,35,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,13,34,5/7/19
4835,36,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,24,29,5/7/19
4836,37,Drip Too Hard,Lil Baby & Gunna,33,33,5/7/19
4837,38,Eyes On You,Chase Rice,11,44,5/7/19
4838,39,When The Party's Over,Billie Eilish,25,38,5/7/19
4839,40,Boy With Luv,BTS Featuring Halsey,3,40,5/7/19
4840,41,Earth,Lil Dicky,2,17,5/7/19
4841,42,Sanguine Paradise,Lil Uzi Vert,3,32,5/7/19
4842,43,You Say,Lauren Daigle,42,45,5/7/19
4843,44,Murder On My Mind,YNW Melly,15,35,5/7/19
4844,45,Bury A Friend,Billie Eilish,14,36,5/7/19
4845,46,Good As You,Kane Brown,10,52,5/7/19
4846,47,Clout,Offset Featuring Cardi B,4,39,5/7/19
4847,48,"Thank U, Next",Ariana Grande,26,41,5/7/19
4848,49,Walk Me Home,P!nk,9,62,5/7/19
4849,50,Youngblood,5 Seconds Of Summer,48,50,5/7/19
4850,51,Pop Out,Polo G Featuring Lil Tjay,6,60,5/7/19
4851,52,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,12,55,5/7/19
4852,53,Look What God Gave Her,Thomas Rhett,9,53,5/7/19
4853,54,Here Tonight,Brett Young,17,49,5/7/19
4854,55,Baby Shark,Pinkfong,18,47,5/7/19
4855,56,Close Friends,Lil Baby,27,57,5/7/19
4856,57,Worth It,YK Osiris,11,58,5/7/19
4857,58,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,19,54,5/7/19
4858,59,Night Shift,Jon Pardi,11,61,5/7/19
4859,60,Love Ain't,Eli Young Band,3,68,5/7/19
4860,61,Rumor,Lee Brice,8,67,5/7/19
4861,62,Miss Me More,Kelsea Ballerini,13,59,5/7/19
4862,63,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,5,51,5/7/19
4863,64,Make It Sweet,Old Dominion,18,56,5/7/19
4864,65,Before I Let Go,Beyonce,2,75,5/7/19
4865,66,"Hey Look Ma, I Made It",Panic! At The Disco,3,80,5/7/19
4866,67,Floating,ScHoolboy Q Featuring 21 Savage,1,0,5/7/19
4867,68,Robbery,Juice WRLD,11,66,5/7/19
4868,69,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,1,0,5/7/19
4869,70,Big Ole Freak,Megan Thee Stallion,4,76,5/7/19
4870,71,Don't Call Me Up,Mabel,6,70,5/7/19
4871,72,Cool,Jonas Brothers,4,69,5/7/19
4872,73,Calma,Pedro Capo X Farruko,7,71,5/7/19
4873,74,Girls Need Love,Summer Walker X Drake,10,72,5/7/19
4874,75,GIRL,Maren Morris,9,74,5/7/19
4875,76,Mixed Personalities,YNW Melly Featuring Kanye West,15,63,5/7/19
4876,77,That's A Rack,Lil Uzi Vert,3,82,5/7/19
4877,78,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,8,64,5/7/19
4878,79,Wish You Were Gay,Billie Eilish,9,73,5/7/19
4879,80,You Should See Me In A Crown,Billie Eilish,6,65,5/7/19
4880,81,Put A Date On It,Yo Gotti Featuring Lil Baby,14,77,5/7/19
4881,82,Talk You Out Of It,Florida Georgia Line,11,78,5/7/19
4882,83,I'm So Tired...,Lauv & Troye Sivan,4,81,5/7/19
4883,84,On My Way To You,Cody Johnson,10,89,5/7/19
4884,85,CHopstix,ScHoolboy Q + Travis Scott,1,0,5/7/19
4885,86,Shotta Flow,NLE Choppa,2,96,5/7/19
4886,87,Shot Clock,Ella Mai,14,79,5/7/19
4887,88,Ocean Eyes,Billie Eilish,11,84,5/7/19
4888,89,Secreto,Anuel AA & Karol G,10,83,5/7/19
4889,90,Light It Up,"Marshmello, Tyga & Chris Brown",1,0,5/7/19
4890,91,Love Someone,Brett Eldredge,2,93,5/7/19
4891,92,Power Is Power,"SZA, The Weeknd & Travis Scott",1,0,5/7/19
4892,93,Faucet Failure,Ski Mask The Slump God,10,88,5/7/19
4893,94,Knockin' Boots,Luke Bryan,1,0,5/7/19
4894,95,Numb Numb Juice,ScHoolboy Q,2,0,5/7/19
4895,96,Love Me Anyway,P!nk Featuring Chris Stapleton,1,0,5/7/19
4896,97,24/7,Meek Mill Featuring Ella Mai,4,0,5/7/19
4897,98,Stop Snitching,YG,1,0,5/7/19
4898,99,SOS,Avicii Featuring Aloe Blacc,3,87,5/7/19
4899,100,Kill This Love,BLACKPINK,4,86,5/7/19
4900,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,10,1,5/14/19
4901,2,If I Can't Have You,Shawn Mendes,1,0,5/14/19
4902,3,ME!,Taylor Swift Featuring Brendon Urie,3,2,5/14/19
4903,4,Sucker,Jonas Brothers,10,4,5/14/19
4904,5,Homicide,Logic Featuring Eminem,1,0,5/14/19
4905,6,Wow.,Post Malone,20,3,5/14/19
4906,7,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,29,5,5/14/19
4907,8,Without Me,Halsey,31,7,5/14/19
4908,9,Bad Guy,Billie Eilish,6,9,5/14/19
4909,10,7 Rings,Ariana Grande,16,6,5/14/19
4910,11,Dancing With A Stranger,Sam Smith & Normani,17,8,5/14/19
4911,12,Talk,Khalid,13,10,5/14/19
4912,13,Sweet But Psycho,Ava Max,21,11,5/14/19
4913,14,Middle Child,J. Cole,16,12,5/14/19
4914,15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,13,13,5/14/19
4915,16,Happier,Marshmello & Bastille,38,14,5/14/19
4916,17,Going Bad,Meek Mill Featuring Drake,23,16,5/14/19
4917,18,Eastside,"benny blanco, Halsey & Khalid",43,17,5/14/19
4918,19,Shallow,Lady Gaga & Bradley Cooper,32,15,5/14/19
4919,20,High Hopes,Panic! At The Disco,40,18,5/14/19
4920,21,Better,Khalid,34,20,5/14/19
4921,22,Suge,DaBaby,6,27,5/14/19
4922,23,Please Me,Cardi B & Bruno Mars,12,19,5/14/19
4923,24,Pure Water,Mustard & Migos,15,23,5/14/19
4924,25,Girls Like You,Maroon 5 Featuring Cardi B,50,21,5/14/19
4925,26,Sicko Mode,Travis Scott,40,24,5/14/19
4926,27,Look Back At It,A Boogie Wit da Hoodie,22,29,5/14/19
4927,28,Whiskey Glasses,Morgan Wallen,10,33,5/14/19
4928,29,Act Up,City Girls,10,30,5/14/19
4929,30,A Lot,21 Savage,20,22,5/14/19
4930,31,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,14,35,5/14/19
4931,32,Beautiful Crazy,Luke Combs,26,28,5/14/19
4932,33,God's Country,Blake Shelton,6,34,5/14/19
4933,34,Here With Me,Marshmello Featuring CHVRCHES,9,31,5/14/19
4934,35,Envy Me,Calboy,21,32,5/14/19
4935,36,Thotiana,Blueface,17,25,5/14/19
4936,37,Be Alright,Dean Lewis,28,26,5/14/19
4937,38,Eyes On You,Chase Rice,12,38,5/14/19
4938,39,Pop Out,Polo G Featuring Lil Tjay,7,51,5/14/19
4939,40,When The Party's Over,Billie Eilish,26,39,5/14/19
4940,41,Drip Too Hard,Lil Baby & Gunna,34,37,5/14/19
4941,42,Good As You,Kane Brown,11,46,5/14/19
4942,43,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,25,36,5/14/19
4943,44,Clout,Offset Featuring Cardi B,5,47,5/14/19
4944,45,You Say,Lauren Daigle,43,43,5/14/19
4945,46,Bury A Friend,Billie Eilish,15,45,5/14/19
4946,47,Sanguine Paradise,Lil Uzi Vert,4,42,5/14/19
4947,48,"Thank U, Next",Ariana Grande,27,48,5/14/19
4948,49,Murder On My Mind,YNW Melly,16,44,5/14/19
4949,50,Truth Hurts,Lizzo,1,0,5/14/19
4950,51,Boy With Luv,BTS Featuring Halsey,4,40,5/14/19
4951,52,Worth It,YK Osiris,12,57,5/14/19
4952,53,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,13,52,5/14/19
4953,54,Close Friends,Lil Baby,28,56,5/14/19
4954,55,Look What God Gave Her,Thomas Rhett,10,53,5/14/19
4955,56,Night Shift,Jon Pardi,12,59,5/14/19
4956,57,Rumor,Lee Brice,9,61,5/14/19
4957,58,Walk Me Home,P!nk,10,49,5/14/19
4958,59,"Hey Look Ma, I Made It",Panic! At The Disco,4,66,5/14/19
4959,60,Love Ain't,Eli Young Band,4,60,5/14/19
4960,61,Earth,Lil Dicky,3,41,5/14/19
4961,62,Baby Shark,Pinkfong,19,55,5/14/19
4962,63,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,20,58,5/14/19
4963,64,Miss Me More,Kelsea Ballerini,14,62,5/14/19
4964,65,Big Ole Freak,Megan Thee Stallion,5,70,5/14/19
4965,66,Here Tonight,Brett Young,18,54,5/14/19
4966,67,Before I Let Go,Beyonce,3,65,5/14/19
4967,68,Beer Never Broke My Heart,Luke Combs,1,0,5/14/19
4968,69,Don't Call Me Up,Mabel,7,71,5/14/19
4969,70,Cool,Jonas Brothers,5,72,5/14/19
4970,71,Go Loko,"YG, Tyga & Jon Z",1,0,5/14/19
4971,72,GIRL,Maren Morris,10,75,5/14/19
4972,73,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,6,63,5/14/19
4973,74,Robbery,Juice WRLD,12,68,5/14/19
4974,75,Girls Need Love,Summer Walker X Drake,11,74,5/14/19
4975,76,Make It Sweet,Old Dominion,19,64,5/14/19
4976,77,Calma,Pedro Capo X Farruko,8,73,5/14/19
4977,78,Mixed Personalities,YNW Melly Featuring Kanye West,16,76,5/14/19
4978,79,Talk You Out Of It,Florida Georgia Line,12,82,5/14/19
4979,80,Put A Date On It,Yo Gotti Featuring Lil Baby,15,81,5/14/19
4980,81,I'm So Tired...,Lauv & Troye Sivan,5,83,5/14/19
4981,82,Shotta Flow,NLE Choppa,3,86,5/14/19
4982,83,That's A Rack,Lil Uzi Vert,4,77,5/14/19
4983,84,Knockin' Boots,Luke Bryan,2,94,5/14/19
4984,85,24/7,Meek Mill Featuring Ella Mai,5,97,5/14/19
4985,86,You Should See Me In A Crown,Billie Eilish,7,80,5/14/19
4986,87,On My Way To You,Cody Johnson,11,84,5/14/19
4987,88,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,2,69,5/14/19
4988,89,Love Someone,Brett Eldredge,3,91,5/14/19
4989,90,Power Is Power,"SZA, The Weeknd & Travis Scott",2,92,5/14/19
4990,91,Middle Child,PnB Rock & XXXTENTACION,1,0,5/14/19
4991,92,Shot Clock,Ella Mai,15,87,5/14/19
4992,93,Ocean Eyes,Billie Eilish,12,88,5/14/19
4993,94,Wish You Were Gay,Billie Eilish,10,79,5/14/19
4994,95,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,9,78,5/14/19
4995,96,All To Myself,Dan + Shay,1,0,5/14/19
4996,97,Secreto,Anuel AA & Karol G,11,89,5/14/19
4997,98,Paradise,Bazzi,1,0,5/14/19
4998,99,Die Young,Roddy Ricch,1,0,5/14/19
4999,100,Faucet Failure,Ski Mask The Slump God,11,93,5/14/19
5000,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,11,1,5/21/19
5001,2,I Don't Care,Ed Sheeran & Justin Bieber,1,0,5/21/19
5002,3,Sucker,Jonas Brothers,11,4,5/21/19
5003,4,Bad Guy,Billie Eilish,7,9,5/21/19
5004,5,Wow.,Post Malone,21,6,5/21/19
5005,6,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,30,7,5/21/19
5006,7,Dancing With A Stranger,Sam Smith & Normani,18,11,5/21/19
5007,8,ME!,Taylor Swift Featuring Brendon Urie,4,3,5/21/19
5008,9,Talk,Khalid,14,12,5/21/19
5009,10,Without Me,Halsey,32,8,5/21/19
5010,11,7 Rings,Ariana Grande,17,10,5/21/19
5011,12,Sweet But Psycho,Ava Max,22,13,5/21/19
5012,13,If I Can't Have You,Shawn Mendes,2,2,5/21/19
5013,14,Middle Child,J. Cole,17,14,5/21/19
5014,15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,14,15,5/21/19
5015,16,Suge,DaBaby,7,22,5/21/19
5016,17,Happier,Marshmello & Bastille,39,16,5/21/19
5017,18,Going Bad,Meek Mill Featuring Drake,24,17,5/21/19
5018,19,Eastside,"benny blanco, Halsey & Khalid",44,18,5/21/19
5019,20,High Hopes,Panic! At The Disco,41,20,5/21/19
5020,21,Homicide,Logic Featuring Eminem,2,5,5/21/19
5021,22,Shallow,Lady Gaga & Bradley Cooper,33,19,5/21/19
5022,23,Better,Khalid,35,21,5/21/19
5023,24,God's Country,Blake Shelton,7,33,5/21/19
5024,25,Whiskey Glasses,Morgan Wallen,11,28,5/21/19
5025,26,Pure Water,Mustard & Migos,16,24,5/21/19
5026,27,Please Me,Cardi B & Bruno Mars,13,23,5/21/19
5027,28,Look Back At It,A Boogie Wit da Hoodie,23,27,5/21/19
5028,29,Beer Never Broke My Heart,Luke Combs,2,68,5/21/19
5029,30,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,15,31,5/21/19
5030,31,Sicko Mode,Travis Scott,41,26,5/21/19
5031,32,Girls Like You,Maroon 5 Featuring Cardi B,51,25,5/21/19
5032,33,Act Up,City Girls,11,29,5/21/19
5033,34,Pop Out,Polo G Featuring Lil Tjay,8,39,5/21/19
5034,35,Envy Me,Calboy,22,35,5/21/19
5035,36,Beautiful Crazy,Luke Combs,27,32,5/21/19
5036,37,Here With Me,Marshmello Featuring CHVRCHES,10,34,5/21/19
5037,38,A Lot,21 Savage,21,30,5/21/19
5038,39,Good As You,Kane Brown,12,42,5/21/19
5039,40,When The Party's Over,Billie Eilish,27,40,5/21/19
5040,41,"Hey Look Ma, I Made It",Panic! At The Disco,5,59,5/21/19
5041,42,Truth Hurts,Lizzo,2,50,5/21/19
5042,43,Thotiana,Blueface,18,36,5/21/19
5043,44,Be Alright,Dean Lewis,29,37,5/21/19
5044,45,Eyes On You,Chase Rice,13,38,5/21/19
5045,46,Drip Too Hard,Lil Baby & Gunna,35,41,5/21/19
5046,47,Bury A Friend,Billie Eilish,16,46,5/21/19
5047,48,Look What God Gave Her,Thomas Rhett,11,55,5/21/19
5048,49,"Thank U, Next",Ariana Grande,28,48,5/21/19
5049,50,Love Ain't,Eli Young Band,5,60,5/21/19
5050,51,Triggered,Jhene Aiko,1,0,5/21/19
5051,52,Murder On My Mind,YNW Melly,17,49,5/21/19
5052,53,Rumor,Lee Brice,10,57,5/21/19
5053,54,Walk Me Home,P!nk,11,58,5/21/19
5054,55,Clout,Offset Featuring Cardi B,6,44,5/21/19
5055,56,Close Friends,Lil Baby,29,54,5/21/19
5056,57,Baby Shark,Pinkfong,20,62,5/21/19
5057,58,Worth It,YK Osiris,13,52,5/21/19
5058,59,Sanguine Paradise,Lil Uzi Vert,5,47,5/21/19
5059,60,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,14,53,5/21/19
5060,61,Boy With Luv,BTS Featuring Halsey,5,51,5/21/19
5061,62,Put A Date On It,Yo Gotti Featuring Lil Baby,16,80,5/21/19
5062,63,Miss Me More,Kelsea Ballerini,15,64,5/21/19
5063,64,Cool,Jonas Brothers,6,70,5/21/19
5064,65,Big Ole Freak,Megan Thee Stallion,6,65,5/21/19
5065,66,Don't Call Me Up,Mabel,8,69,5/21/19
5066,67,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,7,73,5/21/19
5067,68,Night Shift,Jon Pardi,13,56,5/21/19
5068,69,Earth,Lil Dicky,4,61,5/21/19
5069,70,GIRL,Maren Morris,11,72,5/21/19
5070,71,Before I Let Go,Beyonce,4,67,5/21/19
5071,72,Girls Need Love,Summer Walker X Drake,12,75,5/21/19
5072,73,Soltera,"Lunay, Daddy Yankee & Bad Bunny",1,0,5/21/19
5073,74,Here Tonight,Brett Young,19,66,5/21/19
5074,75,Robbery,Juice WRLD,13,74,5/21/19
5075,76,Calma,Pedro Capo X Farruko,9,77,5/21/19
5076,77,Talk You Out Of It,Florida Georgia Line,13,79,5/21/19
5077,78,Love Someone,Brett Eldredge,4,89,5/21/19
5078,79,Go Loko,"YG, Tyga & Jon Z",2,71,5/21/19
5079,80,Make It Sweet,Old Dominion,20,76,5/21/19
5080,81,Shotta Flow,NLE Choppa,4,82,5/21/19
5081,82,Mixed Personalities,YNW Melly Featuring Kanye West,17,78,5/21/19
5082,83,Knockin' Boots,Luke Bryan,3,84,5/21/19
5083,84,24/7,Meek Mill Featuring Ella Mai,6,85,5/21/19
5084,85,Someone You Loved,Lewis Capaldi,1,0,5/21/19
5085,86,On My Way To You,Cody Johnson,12,87,5/21/19
5086,87,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,3,88,5/21/19
5087,88,Shot Clock,Ella Mai,16,92,5/21/19
5088,89,I'm So Tired...,Lauv & Troye Sivan,6,81,5/21/19
5089,90,Ocean Eyes,Billie Eilish,13,93,5/21/19
5090,91,Paradise,Bazzi,2,98,5/21/19
5091,92,You Should See Me In A Crown,Billie Eilish,8,86,5/21/19
5092,93,All To Myself,Dan + Shay,2,96,5/21/19
5093,94,SOS,Avicii Featuring Aloe Blacc,4,0,5/21/19
5094,95,Te Robare,Nicky Jam X Ozuna,1,0,5/21/19
5095,96,Wish You Were Gay,Billie Eilish,11,94,5/21/19
5096,97,That's A Rack,Lil Uzi Vert,5,83,5/21/19
5097,98,Rule The World,2 Chainz Featuring Ariana Grande,2,0,5/21/19
5098,99,Die Young,Roddy Ricch,2,99,5/21/19
5099,100,Juice,Lizzo,1,0,5/21/19
5100,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,12,1,5/28/19
5101,2,I Don't Care,Ed Sheeran & Justin Bieber,2,2,5/28/19
5102,3,Bad Guy,Billie Eilish,8,4,5/28/19
5103,4,Sucker,Jonas Brothers,12,3,5/28/19
5104,5,Talk,Khalid,15,9,5/28/19
5105,6,Wow.,Post Malone,22,5,5/28/19
5106,7,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,31,6,5/28/19
5107,8,Dancing With A Stranger,Sam Smith & Normani,19,7,5/28/19
5108,9,ME!,Taylor Swift Featuring Brendon Urie,5,8,5/28/19
5109,10,Sweet But Psycho,Ava Max,23,12,5/28/19
5110,11,Without Me,Halsey,33,10,5/28/19
5111,12,7 Rings,Ariana Grande,18,11,5/28/19
5112,13,EARFQUAKE,"Tyler, The Creator",1,0,5/28/19
5113,14,Suge,DaBaby,8,16,5/28/19
5114,15,Nightmare,Halsey,1,0,5/28/19
5115,16,If I Can't Have You,Shawn Mendes,3,13,5/28/19
5116,17,Middle Child,J. Cole,18,14,5/28/19
5117,18,Happier,Marshmello & Bastille,40,17,5/28/19
5118,19,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,1,0,5/28/19
5119,20,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,15,15,5/28/19
5120,21,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,1,0,5/28/19
5121,22,High Hopes,Panic! At The Disco,42,20,5/28/19
5122,23,Going Bad,Meek Mill Featuring Drake,25,18,5/28/19
5123,24,God's Country,Blake Shelton,8,24,5/28/19
5124,25,Eastside,"benny blanco, Halsey & Khalid",45,19,5/28/19
5125,26,Whiskey Glasses,Morgan Wallen,12,25,5/28/19
5126,27,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,16,30,5/28/19
5127,28,Pure Water,Mustard & Migos,17,26,5/28/19
5128,29,Look Back At It,A Boogie Wit da Hoodie,24,28,5/28/19
5129,30,Better,Khalid,36,23,5/28/19
5130,31,Pop Out,Polo G Featuring Lil Tjay,9,34,5/28/19
5131,32,Sicko Mode,Travis Scott,42,31,5/28/19
5132,33,Please Me,Cardi B & Bruno Mars,14,27,5/28/19
5133,34,Act Up,City Girls,12,33,5/28/19
